||FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |UI|UI|UI|UI|UI|UI|UI|UI|UI
user functionality / computer functionality ||interactivity|interactivity|reproducibility/transparency|Disaster Recovery|Export|Export|Export|Import|Import|GALLERY|BLUEPRINT ARCHITECT ELEMENTS|BLUEPRINT ARCHITECT ELEMENTS|BLUEPRINT ARCHITECT ELEMENTS|BLUEPRINT ARCHITECT ELEMENTS|TEST_LAB|TEST_LAB|TEST_LAB|TEST_LAB|TEST_LAB||||2 sides of the same coin (on/off)|||||
PERSONA|TYPE|PASSIVE_INTERACT |ACTIVE_INTERACT (T3 + CMP_MODE + AUTOSAVE)|HASHES EXPORT|AUTOSAVE|EXP_BNDL|EXP_GROUP|EXP_GRF|Metadata import (META_ING)|Import data (IMP_HLP)|GALLERY|BLUEPRINT ARCHITECT|TUBE_MAP|WRNG_STU|other to be announced|TEST_LAB|DATA PREP|CREATE_TEST_DATA|CREATE_MANIFEST_BROILER_PLATE|other to be announced|TIER_TOG (T1/T2) VIEW – require INTERACT_ENABLED|TIER_TOG (T1/T2 + T3/T2-T3 comparison) VIEW|PRS_BADGE|MAN_SEL|MAN_FIX|UI_TITLE|UI_SUBT|SHOW_NAV|SDB_PROF
[P] web-project-showcase|proposed|yes|-||-|- |-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|yes|yes|yes|-|yes
pipeline-static|existing|-|-||-|-|-|-|-|-|-|-|-|-|-|-|-|-|-||-|-|yes|-|yes|yes|yes|-|-
[P] lightweight-exploration|proposed|yes|-||-|yes|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|.|-|-|yes|yes|-|-|-
demo-vetinst|existing|yes|-||-|-|-|-|-|-|-|-|-|-|-|-|-|-|-||-|-|-|-|yes|yes|yes|-|yes
pipeline-expl-simple|existing|yes|-||-|yes|-|-|-|-|-|-|-|-|-|-|-|-|-||yes|.|yes|-|yes|yes|yes|-|-
pipeline-expl-advanced|existing|yes|yes||yes|yes|yes|yes|yes|-|-|-|-|-|-|yes|yes|-|-||yes|yes|yes|-|yes|yes|yes|-|-
project-independent|existing|yes|yes||yes|yes|yes|yes|yes|yes|-|yes |yes|-|-|yes|yes|-|-||yes|yes|yes|yes|-|-|-|yes|-
Project-independent-advanced|proposed|yes|yes||yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|-|yes|yes|-|-|*|yes|yes|yes|yes|-|-|-|yes|-
developer|existing|yes|yes||yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|-|-|-|yes|-
qa[automated testing]|existing|yes|yes||yes (if can use automated testing)|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes|yes/no
